id,symbol,event title,type of event,start date,end date,exact location,location coordinate x,location coordinate y,location Region,summary text,main agency,main actor,secondary actor,Diazoma meetings flagged,source link,Image 01,Image 02,Image 03,,,,,,
,,,Announcement / Meeting / Event  by local municipalities,07/09/2021,07/09/2021,Limni,,,North Evia,Meeting of Stavros Benos with mayors of N. Evia and regional governor,"Local Municipality of Istiaia, Aidipsos, Local Municipality of Limni, Mantoudi, Agia Anna, Diazoma, Regional Government of Sterea Ellada",S. Benos,,,,,,,,,,,,
,,,Announcement / Meetings / Events / Demonstrations by civil society,21/08/2021,21/08/2021,Strofilia,,,North Evia,"Demonstration organised by the Union of Resin collectors in N. Evia, Rural association of Mantoudi, Initiative of citizens affected by the fire","Rural association of Mantoudi, Initiative of citizens affected by the fire, Union of Resin collectors in N. Evia",,,,,,,,,,,,,
,,ATTICA,Active Fire,03/08/2021,07/08/2021,Acharnes,,,Attica,,"Fire Department, Ministry of Civil Protection",,,,,,,,,,,,,
,,ATTICA,Active Fire,05/08/2021,07/08/2021,Afidnes,,,Attica,,"Fire Department, Ministry of Civil Protection",,,,,,,,,,,,,
,,PELOPONESE,Active Fire,04/08/2021,11/08/2021,Ancient Olympia,,,Peloponese,,"Fire Department, Ministry of Civil Protection",,,,,,,,,,,,,
,,ATTICA,Active Fire,16/08/2021,19/08/2021,Mandra,,,Attica,,"Fire Department, Ministry of Civil Protection",,,,,,,,,,,,,
,,Press conference ,Announcement / Meeting / Event by the greek government,10/08/2021,10/08/2021,Athens,,,Attica,"During the press conference, Prime Minister Kuriakos Mitsotakis directly assigned the regeneration programme for N.Evia to S.Benos and the private comitttee of Diazoma",Greek central government,Prime Minister,S. Benos,,,,,,,,,,,
,,Donation grant announcement,Announcement / Meeting / Event  by private actors,12/08/2021,12/08/2021,Athens,,,Attica,Stavros Niarchos foundation announced 15 million donation grant for the immediate relief of those affected by this year’s fires,"Greek central government, Stravros Niarchos Foundation",,,,,,,,,,,,,
,,ATHINA,Flood,09/10/2021,12/10/2021,Mutiple Locations,,,North Evia,Severe floodings in the area of Northern Evia after consecutive days of rainfall.,,,,,,,,,,,,,,
,,1st bulletin 'KNOUKLA',Announcement / Meetings / Events / Demonstrations by civil society,14/10/2021,14/10/2021,Mutiple Locations,,,North Evia,1st Information bulletin is published by the Initiative of citizens affected by the fire in N. Evia,Initiative of citizens affected by the fire,,,,,,,,,,,,,
,,2nd bulletin 'KNOUKLA',Announcement / Meetings / Events / Demonstrations by civil society,02/10/2021,02/10/2021,Mutiple Locations,,,North Evia,"2ne Information bulletin is published by the Initiative of citizens affected by the fire in N. Evia, with analysis of the current situation and a list of their demands and needs.",Initiative of citizens affected by the fire,,,,,,,,,,,,,
,,FEK 143A,Legislation changes,13/08/2021,13/08/2021,Athens,,,Attica,"_Trasfer of Forestry Services from the Decentralised Administrations to the Ministry of Environment & Energy
_Introduction of Online Platform arogi.gov.gr for the provision of state relief funds from wildfires","Ministry of Environment & Energy, Ministry of Civil Protection, Forestry Service",,,,,,,,,,,,,
,,,Event,27/08/2021,27/08/2021,Istiaia,,,North Evia,"License is revoked by the Regulatory Energy Authority (RAE)
for electricity generation via wind farm at Telethrio Mountain in Northern Evia",Regulatory Energy Authority (RAE),,,,,,,,,,,,,
,,,Event,15/06/2021,15/06/2021,Istiaia,,,North Evia,License is granted by the Regulatory Energy Authority (RAE)for electricity generation via wind farm at Telethrio Mountain in Northern,Regulatory Energy Authority (RAE),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Demonstration ,Announcement / Meetings / Events / Demonstrations by civil society,06/11/2021,06/11/2021,Athens,,,Attica,"Protest organised by the Initiative in N. Evia against the imposition of the Diazoma committee. ''While the forest is burning, instead of fire trucks, they sent us Benos''",Initiative of citizens affected by the fire,,,,,,,,,,,,,
,,,Contracts signed between private actors,20/10/2021,02/12/2021,Athens,,,Attica,"Period during which the contracts between the private committee 'Diazoma', the sponsors and the consultant agencies that were to be involved in the design of the 'Evia Meta' regeneration masterplan where signed",Diazoma,S. Benos,,,,,,,,,,,,
,,,Announcement / Meetings / Events / Demonstrations by civil society,28/10/2021,30/10/2021,Istiaia,,,North Evia,Tour of artistic groups within the area in solidarity of the local residents through cultural events,Initiative of citizens affected by the fire,,,,,,,,,,,,,
,,Official meeting,Announcement / Meeting / Event by the greek government,11/12/2021,11/12/2021,Athens,,,Attica,"1st Meeting_Presentation of time schedule for the preparation of the 14 studies of the Masterplan for North Evia : 'Evia Meta'.  Prime Minister Mitsotakis emphasized, a ""very specific and structured plan for the total reconstruction of northern Evia"" , which ""will constitute the model for a new way of understanding holistic development, using the institution of integrated spatial investments, so that all the initiatives we undertake are part of a specific plan that can leverage the comparative advantages of each region, and first and foremost give hope to the people who were tested in northern Evia that it is worth remaining in their place and that their children will have a better future than them"".","Diazoma, Greek central government",Prime Minister,S. Benos,1,,,,,,,,,,
,,,Announcement / Meetings / Events / Demonstrations by civil society,05/12/2021,05/12/2021,Athens,,,Attica,Protest organised in Athens by the Union of the Temporary employees of the Fire Department is met with violence by MAT police,Union of the Temporary employees of the Fire Department,,,,,,,,,,,,,
,,Open Meeting,Announcements-Events-Meetings-Works by Diazoma,14/12/2021,15/12/2021,Istiaia,,,North Evia,"Meeting of Diazoma with mayors of the local municipalities of Limni, Mantoudi, Agia Anna & Istiaia, Aidipsos and local citizens","Diazoma, Local Municipality of Limni, Mantoudi, Agia Anna, Local Municipality of Istiaia, Aidipsos",S. Benos,"Mayor of Limni, Mantoudi, Agia Anna",2,,,,,,,,,,
,,Announcement,Announcement / Meeting / Event by the greek government,10/11/2021,10/11/2021,Athens,,,Attica,Christos Triantopoullos announced a relief fund package of 20mil. € for support of the citizens whose properties where destroyed by recent floodings in N. Evia.,Greek central government,Christos Trantopoulos,,,,,,,,,,,,
,,EVROS,Active Fire,19/08/2023,04/09/2023,Forest of Dadia,,,Evros,,"Fire Department, Ministry of Civil Protection",,,,,,,,,,,,,
,,RHODES,Active Fire,18/07/2023,28/07/2023,Rhodes,,,Rhodes,,"Fire Department, Ministry of Civil Protection",,,,,,,,,,,,,
,,,Legislation changes,16/01/2023,16/01/2023,Athens,,,Attica,Creation of the committee responsible for Issues of State Relief and Rehabilitation from Natural Disasters ,Greek central government,Prime Minister,Christos Trantopoulos,,,,,,,,,,,
,,,Announcement / Meeting / Event by the greek government,16/01/2023,16/01/2023,Athens,,,Attica,Press Release: “A Composition of Dreams”. Official submission of the Masterplan 'Evia Meta' and the strategic studies for North Evia to the Prime Minister. 71 projects and actions with a budget of €400 million,Greek central government,Prime Minister,S. Benos,,,,,,,,,,,
,,,Event,29/01/2026,29/01/2026,Chalkida,,,North Evia,Decision of the district attorney that no one should be held responsible for the wildfires in N. Evia 2021.,Judiciary,Public Prosecutor of Chalkida,,,https://expressevia.com/2026/01/%CE%B7-%CE%B4%CE%B9%CE%BA%CE%B1%CE%B9%CE%BF%CF%83%CF%8D%CE%BD%CE%B7-%CE%B2%CE%AC%CE%B6%CE%B5%CE%B9-%CF%83%CF%84%CE%BF-%CE%B1%CF%81%CF%87%CE%B5%CE%AF%CE%BF-%CF%84%CE%B7%CE%BD-%CF%85%CF%80%CF%8C%CE%B8/,,,,,,,,,
,,,,18/10/2023,18/10/2023,Athens,,,Attica,"Declaration of the procedure for the selection of the contractors for the execution of the 
National Reforestation Plan of total estimated value €55.725.805,55 ",Greek central government,,,,,,,,,,,,,
,,FEK 63A,Legislation changes regarding Forestry,05/01/2024,05/01/2024,Athens,,,Attica,Law 5106: Introduction of Hybrid Co-operative schemes for the management of biomass within public forests.,"Greek central government, Ministry of Environment & Energy",,,,,,,,,,,,,
,,FEK 873D,Legislation changes regarding Forestry,24/11/2022,24/11/2022,Athens,,,Attica,Approval of the Forest Maps of Evia,"Greek central government, Ministry of Environment & Energy, Forestry Service",,,,,,,,,,,,,
,,,Works by the Forestry Service,22/11/2022,24/11/2022,Limni,,,North Evia,Completion of reforestation of areas of the pulic forest of Limni,Forestry Service,,,,,,,,,,,,,
,,,Works by the Forestry Service,01/12/2021,30/11/2023,Limni,,,North Evia,Restoration and improvement construction works on forest roads of the area,Forestry Service,,,,,,,,,,,,,
,,,Works by the Forestry Service,20/01/2022,02/07/2023,Limni,,,North Evia,Τechnical works for the management of the stream 'Xiropotamos' & the complex of water sub-basins of the southwestern  slopes of Mount Kandili,Forestry Service,,,,,,,,,,,,,
,,,Works by the Forestry Service,28/02/2022,27/07/2023,Limni,,,North Evia,Restoration and maintenance projects of forest recreation areas,Forestry Service,,,,,,,,,,,,,
,,,Works by the Forestry Service,20/06/2023,14/02/2023,Limni,,,North Evia,Construction works for fire prevention projects funded by ANTINERO II,Forestry Service,,,,,,,,,,,,,
,,PHASE I,Spatial Planning ,16/01/2023,31/07/2023,Mutiple Locations,,,North Evia,"Phase I of the Special Urban Planning for the municipalities of Limni,Mantoudi, Agia Anna & Istiaia, Aidipsos",Regional Government of Sterea Ellada,,,,,,,,,,,,,
,,PHASE II,Spatial Planning ,31/07/2023,31/07/2025,Mutiple Locations,North Evia,,North Evia,"Phase II of the Special Urban Planning for the municipalities of Limni,Mantoudi, Agia Anna & Istiaia, Aidipsos",Regional Government of Sterea Ellada,,,,,,,,,,,,,
,,PHASE IΙΙ,Spatial Planning ,31/07/2025,18/03/2026,Mutiple Locations,North Evia,,North Evia,"Phase II of the Special Urban Planning for the municipalities of Limni,Mantoudi, Agia Anna & Istiaia, Aidipsos",Regional Government of Sterea Ellada,,,,,,,,,,,,,
,,PHASE I,Spatial Planning ,01/07/2013,15/01/2014,Limni,,,North Evia,"Phase I of the Special Urban Planning for the municipality Limni,Mantoudi, Agia Anna ",Regional Government of Sterea Ellada,,,,,,,,,,,,,
,,PHASE II,Spatial Planning ,14/08/2014,20/03/2015,Limni,North Evia,,North Evia,"Phase II of the Special Urban Planning for the municipality Limni,Mantoudi, Agia Anna ",Regional Government of Sterea Ellada,,,,,,,,,,,,,
,,PHASE III,Spatial Planning ,01/05/2015,19/05/2017,Limni,North Evia,,North Evia,"Phase III of the Special Urban Planning for the municipality Limni,Mantoudi, Agia Anna ",Regional Government of Sterea Ellada,,,,,,,,,,,,,
,,,Announcements-Events-Meetings-Works by Diazoma,12/12/2021,15/01/2023,Athens,,,Attica,Masterplan studies of 'Evia Meta' ,Diazoma,,,1,,,,,,,,,,
,,,Announcements-Events-Meetings-Works by Diazoma,03/06/2022,05/06/2022,Aidipsos,,,North Evia,Meeting of DIAZOMA with local formal entities and local citizens ,Diazoma,S. Benos,,4,,,,,8th Meeting of the memebrs of DIAZOMA,,,,,
,,,Announcements-Events-Meetings-Works by Diazoma,18/03/2022,21/03/2022,Agia Anna,,,North Evia,Meeting of DIAZOMA with local formal entities and local citizens with presentations of the 1st phase of the studies,Diazoma,S. Benos,,3,,,,,,,,,,
,,,Works by the Forestry Service,14/02/2022,14/02/2022,Limni,,,North Evia,"Reforestation event organisde by Limni’s forestry office, sponsored by WE 4all ",Forestry Service,,,,,,,,,,,,,
,,,Announcement / Meeting / Event by the greek government,31/07/2022,26/10/2022,,,,North Evia,Period during which the North Evia Pass vouchers were used ,,,,,,,,,,,,,,
,,FEK 347B ,Legislation changes,28/06/2022,28/06/2022,Athens,,,Attica,"The North Evia–Samos Pass 2022 is enacted, offering digital cards worth €150 (Evia) and €300 (Samos) to residents across the country, encouraging them to choose these areas for tourism as a way to support the local economy",Greek central government,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
